TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15
T_0,13,13,13,20,18,15,19,15,20,20,26,25,19,19,20,16
T_1,23,11,16,25,22,18,24,19,17,18,22,22,16,16,17,14
T_2,31,22,15,34,30,25,33,26,25,25,32,31,23,23,25,20
T_3,24,17,17,18,23,19,25,19,37,38,48,47,35,35,37,29
T_4,13,9,9,14,9,10,14,11,8,8,10,10,7,7,8,6
T_5,42,30,30,46,41,24,44,34,34,34,43,42,31,31,34,26
T_6,22,15,15,23,21,17,16,18,20,20,26,25,19,19,20,16
T_7,40,29,28,43,39,32,42,23,24,24,31,30,22,22,24,19
T_8,15,11,11,16,15,12,16,12,15,22,28,28,20,20,22,17
T_9,18,13,13,20,18,15,19,15,23,16,29,29,21,21,23,18
T_10,36,25,25,39,34,28,37,29,34,34,30,42,31,31,34,26
T_11,18,13,13,20,18,15,19,15,37,38,48,33,35,35,37,29
T_12,40,29,28,43,39,32,42,33,38,39,49,48,25,36,38,30
T_13,23,16,16,25,22,18,24,19,26,26,33,32,24,17,26,20
T_14,25,18,17,27,24,20,26,20,30,30,38,37,28,28,21,23
T_15,9,6,6,9,8,7,9,7,37,38,48,47,35,35,37,21
T_16,23,16,16,25,22,18,24,19,36,37,47,45,34,34,37,29
T_17,14,14,14,21,19,16,20,16,38,39,49,48,36,36,38,30
T_18,28,14,20,30,27,22,29,23,9,9,11,11,8,8,9,7
T_19,42,30,21,46,41,34,44,34,9,9,11,11,8,8,9,7
T_20,9,6,6,7,8,7,9,7,26,26,33,32,24,24,26,20
T_21,38,27,27,41,26,30,39,31,11,11,14,13,10,10,11,8
T_22,23,16,16,25,22,13,24,19,35,35,44,43,32,32,35,27
T_23,27,19,19,29,26,22,20,22,32,32,41,39,29,29,32,25
T_24,25,18,17,27,24,20,26,14,12,12,15,14,11,11,12,9
T_25,26,19,18,28,25,21,27,21,8,12,15,14,11,11,12,9
T_26,38,27,27,41,37,30,39,31,11,8,14,13,10,10,11,8
T_27,42,30,30,46,41,34,44,34,18,19,16,23,17,17,18,14
T_28,43,31,30,47,42,34,45,35,34,34,43,29,31,31,34,26
T_29,29,21,21,32,28,23,30,24,16,17,21,20,11,15,16,13
T_30,33,24,24,36,32,27,35,27,30,30,38,37,28,19,30,23
T_31,42,30,30,46,41,34,44,34,25,25,32,31,23,23,17,20
T_32,41,29,29,44,40,33,43,34,26,26,33,32,24,24,26,14
T_33,43,31,30,47,42,34,45,35,9,9,11,11,8,8,9,7
