TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31
T_0,13,22,15,18,15,15,17,16,27,35,28,28,24,26,26,26,39,22,44,37,37,46,32,39,35,30,48,37,39,45,46,39
T_1,22,18,18,21,18,18,20,19,23,30,24,24,20,22,22,22,28,22,22,26,26,33,23,28,25,21,35,27,28,32,33,28
T_2,13,16,8,13,11,11,12,12,18,24,19,19,16,18,17,17,29,23,33,19,27,34,24,29,26,22,36,28,29,33,34,29
T_3,41,50,34,28,34,33,37,36,10,12,10,10,8,9,9,9,27,21,31,25,18,32,22,27,24,21,34,26,27,31,32,27
T_4,28,34,23,27,16,23,25,24,12,16,13,13,11,12,12,12,10,8,11,9,9,8,8,10,9,8,12,10,10,11,12,10
T_5,25,30,20,24,20,14,22,21,32,41,33,33,28,31,30,30,29,23,33,27,27,34,17,29,26,22,36,28,29,33,34,29
T_6,14,17,12,14,12,12,9,13,18,24,19,19,16,18,17,17,21,17,24,20,20,25,17,15,19,16,26,20,21,24,25,21
T_7,25,30,20,24,20,20,22,15,19,25,20,20,17,19,18,18,22,17,25,21,21,26,18,22,14,17,27,21,22,25,26,22
T_8,19,22,15,18,15,15,17,16,20,37,30,30,25,28,28,27,34,27,39,32,32,40,28,34,30,18,42,33,34,39,40,34
T_9,13,16,11,13,11,11,12,12,19,17,20,20,17,19,18,18,14,11,16,13,13,17,11,14,12,11,12,13,14,16,16,14
T_10,31,37,25,30,26,25,28,27,36,47,27,38,32,36,35,35,17,13,19,16,16,20,14,17,15,13,21,11,17,20,20,17
T_11,21,25,17,20,17,17,19,18,34,45,36,25,30,34,33,33,38,30,43,36,36,45,31,38,34,29,47,36,26,44,45,38
T_12,40,49,33,39,33,33,36,35,24,31,25,25,15,23,23,23,19,15,22,18,18,23,16,19,17,14,24,18,19,15,22,19
T_13,20,24,16,19,16,16,18,17,11,15,12,12,10,8,11,11,25,20,28,24,24,30,21,25,22,19,31,24,25,29,21,25
T_14,13,16,11,13,11,11,12,12,11,15,12,12,10,11,8,11,29,23,33,27,27,34,24,29,26,22,36,28,29,33,34,20
T_15,19,22,15,18,15,15,17,16,24,31,25,25,21,23,23,16,32,25,36,30,30,38,26,32,28,24,40,31,32,37,38,32
T_16,29,35,24,28,24,23,26,25,25,32,26,26,22,24,24,24,6,7,10,8,8,11,7,9,8,7,11,9,9,10,11,9
T_17,17,30,20,24,20,20,22,21,15,20,16,16,13,15,15,15,23,13,26,22,22,27,19,23,20,18,29,22,23,26,27,23
T_18,20,17,16,19,16,16,18,17,38,50,40,40,34,37,37,36,34,27,27,32,32,40,28,34,30,26,42,33,34,39,40,34
T_19,10,12,6,10,9,8,9,9,8,10,8,8,7,7,7,7,21,17,24,14,20,25,17,21,19,16,26,20,21,24,25,21
T_20,13,16,11,9,11,11,12,12,26,34,27,27,23,25,25,25,35,28,40,33,23,42,29,35,31,27,43,34,35,40,41,35
T_21,34,41,28,33,20,28,31,29,38,50,40,40,34,37,37,36,20,16,23,19,19,17,16,20,18,15,25,19,20,23,23,20
T_22,20,24,16,19,16,11,18,17,38,50,40,40,34,37,37,36,25,20,28,24,24,30,14,25,22,19,31,24,25,29,29,25
T_23,21,25,17,20,17,17,13,18,20,26,21,21,18,20,19,19,40,32,46,38,38,47,33,28,35,31,50,38,40,46,47,40
T_24,31,37,25,30,26,25,28,19,13,17,14,14,12,13,13,13,20,16,23,19,19,24,16,20,12,15,25,19,20,23,23,20
T_25,21,25,17,20,17,17,19,18,16,30,24,24,20,22,22,22,39,31,44,37,37,46,32,39,35,21,48,37,39,45,46,39
T_26,39,47,32,38,32,32,35,34,26,24,27,27,23,25,25,25,14,11,16,13,13,17,11,14,12,11,12,13,14,16,16,14
T_27,37,45,31,36,31,30,34,32,33,42,24,34,29,32,31,31,9,7,10,8,8,11,7,9,8,7,11,6,9,10,11,9
T_28,26,31,21,25,21,21,23,22,38,50,40,28,34,37,37,36,31,24,35,29,29,37,25,31,27,24,38,30,22,36,36,31
T_29,12,15,10,12,10,10,11,11,33,44,35,35,21,33,32,32,10,8,11,9,9,12,8,10,9,8,12,10,10,8,12,10
T_30,12,15,10,12,10,10,11,11,18,24,19,19,16,12,17,17,12,9,14,11,11,14,10,12,11,9,15,12,12,14,10,12
T_31,26,31,21,25,21,21,23,22,22,29,23,23,19,22,15,21,21,17,24,20,20,25,17,21,19,16,26,20,21,24,25,15
T_32,27,32,22,26,22,22,24,23,37,49,39,39,33,37,36,25,36,28,41,34,34,43,30,36,32,27,45,35,36,41,42,36
T_33,16,20,14,16,14,13,15,14,27,35,28,28,24,26,26,26,13,14,21,17,17,21,15,18,16,14,22,17,18,21,21,18
T_34,29,50,34,40,34,33,37,36,28,36,29,29,24,27,27,26,20,11,23,19,19,24,16,20,18,15,25,19,20,23,23,20
T_35,8,7,7,8,7,7,7,7,26,34,27,27,23,25,25,25,10,8,8,9,9,12,8,10,9,8,12,10,10,11,12,10
T_36,28,34,16,27,23,23,25,24,10,12,10,10,8,9,9,9,26,21,30,17,24,31,21,26,23,20,32,25,26,30,31,26
T_37,41,50,34,28,34,33,37,36,28,36,29,29,24,27,27,26,11,9,13,10,7,13,9,11,10,8,14,11,11,13,13,11
T_38,41,50,34,40,24,33,37,36,20,26,21,21,18,20,19,19,8,6,9,8,8,7,7,8,7,6,10,8,8,9,9,8
T_39,22,26,18,21,18,12,20,19,21,27,22,22,18,21,20,20,30,24,34,28,28,36,17,30,27,23,37,29,30,34,35,30
T_40,14,17,12,14,12,12,9,13,33,42,34,34,29,32,31,31,16,13,18,15,15,19,13,11,14,12,20,15,16,18,19,16
T_41,25,30,20,24,20,20,22,15,13,17,14,14,12,13,13,13,33,26,38,31,31,39,27,33,20,25,41,32,33,38,39,33
T_42,28,34,23,27,23,23,25,24,11,21,17,17,14,16,16,15,16,13,18,15,15,19,13,16,14,9,20,15,16,18,19,16
T_43,35,42,29,34,29,28,32,30,36,33,38,38,32,36,35,35,9,7,10,8,8,11,7,9,8,7,8,9,9,10,11,9
T_44,41,50,34,40,34,33,37,36,18,24,13,19,16,18,17,17,34,27,39,32,32,40,28,34,30,26,42,23,34,39,40,34
T_45,36,44,30,35,30,29,33,31,24,31,25,17,21,23,23,23,19,15,22,18,18,23,16,19,17,14,24,18,13,22,22,19
T_46,20,24,16,19,16,16,18,17,28,36,29,29,17,27,27,26,32,25,36,30,30,38,26,32,28,24,40,31,32,26,38,32
T_47,24,29,20,23,20,19,21,21,31,40,32,32,27,21,29,29,13,10,15,12,12,15,11,13,12,10,16,12,13,15,11,13
T_48,40,49,33,39,33,33,36,35,9,11,9,9,8,8,6,8,21,17,24,20,20,25,17,21,19,16,26,20,21,24,25,15
T_49,29,35,24,28,24,23,26,25,22,29,23,23,19,22,21,15,33,26,38,31,31,39,27,33,29,25,41,32,33,38,39,33
T_50,30,36,25,29,25,24,27,26,33,42,34,34,29,32,31,31,8,9,14,11,11,14,10,12,11,9,15,12,12,14,14,12
T_51,19,34,23,27,23,23,25,24,20,26,21,21,18,20,19,19,10,6,11,9,9,12,8,10,9,8,12,10,10,11,12,10
T_52,10,9,8,10,9,8,9,9,33,44,35,35,29,33,32,32,37,29,30,35,35,44,30,37,33,28,46,36,37,42,43,37
T_53,30,36,17,29,25,24,27,26,19,25,20,20,17,19,18,18,30,24,34,20,28,36,25,30,27,23,37,29,30,34,35,30
T_54,22,26,18,15,18,18,20,19,24,31,25,25,21,23,23,23,40,32,46,38,26,47,33,40,35,31,50,38,40,46,47,40
T_55,23,27,19,22,13,18,21,20,38,50,40,40,34,37,37,36,12,9,14,11,11,10,10,12,11,9,15,12,12,14,14,12
T_56,35,42,29,34,29,20,32,30,19,25,20,20,17,19,18,18,40,32,46,38,38,47,23,40,35,31,50,38,40,46,47,40
T_57,14,17,12,14,12,12,9,13,37,49,39,39,33,37,36,36,26,21,30,24,24,31,21,18,23,20,32,25,26,30,31,26
T_58,18,21,14,17,14,14,16,11,13,17,14,14,12,13,13,13,34,27,39,32,32,40,28,34,21,26,42,33,34,39,40,34
T_59,39,47,32,38,32,32,35,34,6,11,9,9,8,8,8,8,8,6,9,8,8,9,7,8,7,4,10,8,8,9,9,8
T_60,20,24,16,19,16,16,18,17,30,27,31,31,26,29,28,28,10,8,11,9,9,12,8,10,9,8,9,10,10,11,12,10
T_61,26,31,21,25,21,21,23,22,10,12,7,10,8,9,9,9,25,20,28,24,24,30,21,25,22,19,31,17,25,29,29,25
T_62,30,36,25,29,25,24,27,26,11,15,12,8,10,11,11,11,33,26,38,31,31,39,27,33,29,25,41,32,23,38,39,33
T_63,33,40,27,32,27,27,30,29,20,26,21,21,12,20,19,19,40,32,46,38,38,47,33,40,35,31,50,38,40,32,47,40
T_64,9,11,8,9,8,8,8,8,34,45,36,36,30,24,33,33,22,17,25,21,21,26,18,22,19,17,27,21,22,25,18,22
T_65,24,29,20,23,20,19,21,21,17,22,18,18,15,17,12,16,22,17,25,21,21,26,18,22,19,17,27,21,22,25,26,15
T_66,35,42,29,34,29,28,32,30,19,25,20,20,17,19,18,13,25,20,28,24,24,30,21,25,22,19,31,24,25,29,29,25
T_67,22,26,18,21,18,18,20,19,10,12,10,10,8,9,9,9,18,20,28,24,24,30,21,25,22,19,31,24,25,29,29,25
T_68,25,44,30,35,30,29,33,31,25,32,26,26,22,24,24,24,12,7,14,11,11,14,10,12,11,9,15,12,12,14,14,12
T_69,21,17,17,20,17,17,19,18,11,14,11,11,9,10,10,10,17,13,14,16,16,20,14,17,15,13,21,16,17,20,20,17
T_70,26,31,15,25,21,21,23,22,8,10,8,8,7,7,7,7,31,24,35,20,29,37,25,31,27,24,38,30,31,36,36,31
T_71,41,50,34,28,34,33,37,36,29,37,30,30,25,28,28,27,26,21,30,24,17,31,21,26,23,20,32,25,26,30,31,26
T_72,21,25,17,20,12,17,19,18,15,20,16,16,13,15,15,15,39,31,44,37,37,32,32,39,35,30,48,37,39,45,46,39
T_73,40,49,33,39,33,23,36,35,32,41,33,33,28,31,30,30,32,25,36,30,30,38,18,32,28,24,40,31,32,37,38,32
T_74,14,17,12,14,12,12,9,13,15,20,16,16,13,15,15,15,34,27,39,32,32,40,28,24,30,26,42,33,34,39,40,34
T_75,9,11,8,9,8,8,8,6,9,11,9,9,8,8,8,8,13,10,15,12,12,15,11,13,8,10,16,12,13,15,15,13
T_76,32,39,26,31,26,26,29,28,23,42,34,34,29,32,31,31,20,16,23,19,19,24,16,20,18,11,25,19,20,23,23,20
T_77,10,12,8,10,9,8,9,9,18,17,19,19,16,18,17,17,39,31,44,37,37,46,32,39,35,30,34,37,39,45,46,39
T_78,12,15,10,12,10,10,11,11,31,40,22,32,27,30,29,29,15,12,17,14,14,18,12,15,13,11,19,10,15,17,18,15
T_79,22,26,18,21,18,18,20,19,12,16,13,9,11,12,12,12,16,13,18,15,15,19,13,16,14,12,20,15,11,18,19,16
T_80,37,45,31,36,31,30,34,32,20,26,21,21,12,20,19,19,18,14,21,17,17,21,15,18,16,14,22,17,18,14,21,18
T_81,19,22,15,18,15,15,17,16,32,41,33,33,28,22,30,30,35,28,40,33,33,42,29,35,31,27,43,34,35,40,29,35
T_82,21,25,17,20,17,17,19,18,11,15,12,12,10,11,8,11,23,18,26,22,22,27,19,23,20,18,29,22,23,26,27,16
T_83,10,12,8,10,9,8,9,9,10,12,10,10,8,9,9,6,10,8,11,9,9,12,8,10,9,8,12,10,10,11,12,10
T_84,27,32,22,26,22,22,24,23,35,46,37,37,31,35,34,34,18,21,30,24,24,31,21,26,23,20,32,25,26,30,31,26
T_85,8,14,9,11,9,9,10,10,29,37,30,30,25,28,28,27,33,18,38,31,31,39,27,33,29,25,41,32,33,38,39,33
T_86,8,7,7,8,7,7,7,7,38,50,40,40,34,37,37,36,20,16,16,19,19,24,16,20,18,15,25,19,20,23,23,20
T_87,31,37,18,30,26,25,28,27,11,15,12,12,10,11,11,11,22,17,25,14,21,26,18,22,19,17,27,21,22,25,26,22
T_88,16,20,14,11,14,13,15,14,38,50,40,40,34,37,37,36,40,32,46,38,26,47,33,40,35,31,50,38,40,46,47,40
