TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,2.67,2.80,2.95,2.59,2.31,2.34,2.09,2.73
T_1,2.35,2.90,3.06,2.36,2.23,3.02,2.49,2.25
T_2,2.39,2.97,2.78,2.19,2.47,2.64,2.44,2.69
T_3,2.51,2.65,2.56,1.90,2.56,2.37,2.36,2.33
T_4,2.46,2.95,2.97,2.28,2.43,2.73,2.37,2.68
T_5,2.42,2.64,2.52,2.40,2.54,2.62,2.33,2.83
T_6,2.28,3.13,2.71,2.22,2.47,2.47,2.31,2.61
T_7,2.18,2.86,2.82,2.36,2.47,2.73,1.94,2.55
T_8,2.39,3.01,3.08,2.31,2.61,2.55,2.45,2.37
T_9,2.26,2.72,3.08,2.21,2.29,2.30,2.48,2.65
T_10,2.46,2.73,2.88,2.24,2.50,2.45,2.54,2.42
T_11,2.37,2.79,2.76,2.24,2.27,2.65,2.61,2.39
T_12,2.22,2.91,2.86,2.38,2.70,2.68,2.24,2.57
T_13,2.38,2.87,2.92,2.46,2.29,2.55,2.14,2.44
T_14,2.44,3.13,2.98,2.21,2.30,2.26,2.21,2.54
T_15,2.36,2.86,3.12,2.29,2.48,2.29,2.48,2.61
T_16,2.22,2.77,2.72,2.18,2.44,2.43,2.16,2.66
T_17,2.49,2.63,2.79,2.34,2.20,2.57,2.46,2.60
T_18,2.39,2.71,2.99,2.39,2.69,2.53,2.30,2.52
T_19,2.46,2.84,2.68,2.36,2.58,2.51,2.31,2.47
T_20,2.44,2.83,2.82,2.39,2.51,2.56,2.08,2.53
T_21,2.20,2.88,2.77,2.43,2.43,2.34,2.10,2.71
T_22,2.26,2.90,2.78,2.36,2.17,2.63,2.30,2.23
T_23,2.43,2.67,2.93,2.41,2.29,2.78,2.27,2.35
T_24,2.08,2.83,2.83,2.28,2.44,2.73,2.36,2.61
T_25,2.45,2.74,2.60,2.09,2.45,2.44,2.53,2.46
T_26,2.21,2.88,2.76,2.10,2.21,2.33,2.19,2.64
T_27,2.27,3.14,2.81,2.14,2.30,2.69,2.25,2.81
T_28,2.55,2.71,2.98,2.15,2.35,2.51,2.37,2.25
T_29,2.33,3.06,2.33,2.43,2.25,2.58,2.30,2.67
T_30,2.29,2.77,2.85,2.25,2.47,2.66,2.06,2.49
T_31,2.38,2.77,2.95,2.39,2.36,2.83,2.22,2.37
T_32,2.32,3.04,2.97,2.21,2.04,2.64,2.26,2.54
T_33,2.24,2.51,2.88,2.53,2.36,2.34,2.64,2.40
T_34,2.49,3.16,2.90,2.46,2.17,2.46,2.20,2.29
T_35,2.66,2.86,2.90,1.88,2.58,2.59,2.12,2.24
T_36,2.47,2.55,2.92,2.19,2.46,2.49,2.68,2.52
T_37,2.40,2.84,2.97,2.08,2.73,2.48,2.16,2.63
T_38,2.37,2.70,3.02,2.52,2.25,2.45,2.10,2.51
T_39,2.46,2.52,2.98,2.33,2.32,2.74,2.40,2.59
T_40,2.43,2.89,2.97,2.35,2.29,2.77,2.37,2.60
T_41,2.21,2.71,2.69,2.26,2.32,2.66,2.19,2.81
T_42,2.41,2.61,2.86,2.15,2.39,2.47,2.45,2.50
T_43,2.34,3.10,2.75,2.42,2.12,2.41,2.55,2.93
T_44,2.59,2.74,2.55,2.17,2.33,2.33,2.30,2.34
T_45,2.30,2.83,2.81,2.28,2.51,2.66,2.47,2.28
T_46,2.52,3.00,3.06,2.22,2.35,2.48,2.12,2.43
T_47,2.16,2.78,2.72,2.35,2.11,2.64,2.22,2.65
T_48,2.38,2.74,2.57,2.46,2.79,2.53,2.19,2.42
T_49,2.23,2.69,3.05,2.09,2.33,2.70,2.27,2.38
T_50,2.20,3.01,2.65,2.22,2.40,2.39,2.25,2.62
