TP,P_0,P_1,P_2,P_3
T_0,137,58,97,142
T_1,55,45,142,106
T_2,63,79,46,100
T_3,89,110,60,146
T_4,68,8,14,10
T_5,139,31,133,106
T_6,129,15,45,77
T_7,82,11,63,68
T_8,13,74,36,101
T_9,107,38,74,26
T_10,24,23,134,111
T_11,10,8,143,159
T_12,43,29,155,105
T_13,54,160,84,87
T_14,113,136,10,82
T_15,75,122,56,30
T_16,72,152,125,101
T_17,79,114,28,61
T_18,109,148,76,128
T_19,77,141,134,67
T_20,102,9,132,105
T_21,100,144,32,120
T_22,62,152,11,106
T_23,64,119,99,127
T_24,149,32,84,90
T_25,41,26,29,148
T_26,48,58,130,156
T_27,68,26,41,108
T_28,126,138,150,64
T_29,20,131,69,110
T_30,84,91,43,14
T_31,87,149,158,109
T_32,6,73,58,148
T_33,130,144,132,85
T_34,65,87,123,128
T_35,136,147,25,31
T_36,113,24,101,37
T_37,8,46,138,36
T_38,47,55,117,34
T_39,14,113,131,48
T_40,139,129,40,145
T_41,112,107,7,80
T_42,35,116,80,74
T_43,138,87,100,149
T_44,47,41,79,138
T_45,57,100,137,159
T_46,69,125,123,58
T_47,89,39,47,139
T_48,126,7,86,111
T_49,50,43,125,22
T_50,6,84,53,56
T_51,29,142,122,89
T_52,29,20,124,157
T_53,45,22,94,148
T_54,62,93,8,54
T_55,75,77,114,154
T_56,83,99,108,70
T_57,148,143,56,24
T_58,156,44,31,60
T_59,76,50,72,149
T_60,31,37,138,155
T_61,103,89,152,156
T_62,159,75,126,58
T_63,48,5,64,60
T_64,28,42,41,47
T_65,126,5,87,24
T_66,18,40,135,117
T_67,113,125,88,82
T_68,133,35,66,148
T_69,105,101,103,126
T_70,95,84,138,86
T_71,140,25,159,59
T_72,47,76,41,116
T_73,148,118,130,69
T_74,35,147,116,94
T_75,50,11,98,124
T_76,93,113,59,148
T_77,53,102,100,50
T_78,7,55,118,97
T_79,139,54,6,155
T_80,84,89,29,99
T_81,69,133,8,160
T_82,74,13,75,127
T_83,106,16,69,75
T_84,19,151,12,125
T_85,160,121,130,49
T_86,126,144,31,14
T_87,99,12,44,50
T_88,38,26,112,35
T_89,19,118,20,85
T_90,29,144,76,54
T_91,9,90,86,48
T_92,155,98,137,8
T_93,108,111,20,21
T_94,54,133,42,73
T_95,26,49,118,16
T_96,75,160,55,134
T_97,109,49,5,84
T_98,75,148,94,35
T_99,92,124,150,27
T_100,149,123,27,34
T_101,28,51,27,52
T_102,86,156,10,48
T_103,7,60,100,122
T_104,25,68,83,53
T_105,38,84,18,102
T_106,78,50,76,40
T_107,149,85,110,62
T_108,53,74,56,50
T_109,80,71,117,72
T_110,28,130,95,153
T_111,98,94,138,120
T_112,48,14,154,103
T_113,44,142,150,58
T_114,116,93,78,58
T_115,92,133,146,73
T_116,28,136,58,71
T_117,60,124,71,13
T_118,34,137,52,126
T_119,40,124,155,87
