TP,P_0,P_1,P_2
T_0,0.6011594763981647,0.6953957102405313,0.4382055897990615
T_1,0.8853843233296921,1.007627659751499,0.6057123459074181
T_2,0.4849557956852755,1.0060990385996003,0.4873024126786724
T_3,0.19642424431492733,0.11204418690960619,0.23182407467650568
T_4,0.5717650304701103,0.5208389868608018,0.8420602360205609
T_5,0.049315107628492935,0.084014222191866,0.04593088126717704
T_6,0.656746566988013,0.6627138006380069,0.5762516490791398
T_7,0.563870813654803,0.43403001656874163,0.5227660034938855
T_8,0.6740120974309953,0.2869445315876856,0.3945161515897583
T_9,0.8531392531896111,0.6231878186878665,0.6000488662597298
