TP,P_0,P_1,P_2,P_3
T_0,17,112,96,88
T_1,47,106,23,22
T_2,9,41,111,65
T_3,94,111,22,102
T_4,95,65,62,83
T_5,5,120,15,7
T_6,37,32,111,24
T_7,75,98,82,72
T_8,59,19,104,41
T_9,35,43,20,11
T_10,35,58,86,106
T_11,84,63,13,19
T_12,112,120,68,81
T_13,73,7,85,70
T_14,78,35,96,23
T_15,42,59,5,83
T_16,50,35,78,58
T_17,28,90,90,15
T_18,72,51,13,72
T_19,74,69,105,69
T_20,75,7,54,116
T_21,65,10,86,54
T_22,52,37,100,7
T_23,50,105,13,49
T_24,35,98,89,85
T_25,18,103,79,99
T_26,101,47,22,10
T_27,50,74,48,109
T_28,87,27,111,104
T_29,92,64,94,66
T_30,85,28,108,22
T_31,13,96,104,63
T_32,9,42,30,10
T_33,106,30,118,10
T_34,45,44,70,55
T_35,109,74,65,37
T_36,9,101,87,29
T_37,41,50,115,104
T_38,11,115,88,47
T_39,39,20,107,52
T_40,60,118,56,100
T_41,61,119,54,48
T_42,28,68,93,68
T_43,52,107,71,39
T_44,107,15,98,59
T_45,15,60,82,110
T_46,28,74,42,46
T_47,18,15,46,89
T_48,42,44,62,82
T_49,96,59,26,93
