TP,P_0,P_1,P_2,P_3
T_0,26.0,28.4,11.65,7.04
T_1,29.08,18.42,16.41,12.16
T_2,20.76,37.38,20.49,11.04
T_3,17.63,16.47,35.61,32.92
T_4,34.49,28.39,23.8,32.7
T_5,20.48,22.41,6.11,37.09
T_6,3.72,1.07,25.89,6.78
T_7,17.88,9.08,31.42,37.58
T_8,27.73,33.71,11.15,34.46
T_9,5.44,9.34,23.91,35.22
T_10,31.3,13.01,16.4,27.63
T_11,16.62,11.97,24.42,36.71
T_12,27.06,32.25,26.77,15.3
T_13,3.54,36.31,39.23,39.83
T_14,27.76,37.89,8.59,11.88
T_15,24.49,14.04,11.43,23.98
T_16,33.14,6.35,4.88,47.46
T_17,17.95,3.69,12.9,36.47
T_18,20.67,32.63,13.91,7.34
T_19,59.13,21.76,10.83,7.41
