TP,P_0,P_1
T_0,0.175832767744813,0.09349668476069045
T_1,0.2825980536107282,0.051858221643886884
T_2,0.5102911257829507,0.46943561706395803
T_3,0.05885880049897925,0.18086439530068063
T_4,0.5881489382192447,0.08306716889845041
T_5,0.5918559671649356,0.916527458971549
T_6,0.9785042380752917,0.8833527694130585
T_7,0.3667009204491494,0.35755061668211974
T_8,0.3135000543913102,0.8727313650675741
T_9,0.7242487115873888,0.9495394852140111
T_10,0.182774322534594,0.2575163180181291
T_11,0.28040643923307573,0.41382467940820394
T_12,0.2020064191851033,0.10661593883665894
T_13,0.04492020946383664,0.014106538419173106
T_14,0.04545470499851478,0.16606841557367139
T_15,0.0766854854145321,0.04650483354257023
T_16,0.14239389724624085,0.37872702304576883
T_17,0.3260605943763383,0.42371989912038344
T_18,0.19671960634965346,0.053944866591138924
T_19,0.943527261690865,0.6965782319675231
T_20,0.08260021440226412,0.42886494034386197
T_21,0.7148250281761231,0.3708462977446076
T_22,0.060868966204391035,0.02800102051722283
T_23,0.445859080068418,0.6020824600581136
T_24,2.254437474784642,2.1839856227369454
