TP,P_0,P_1
T_0,50.32,31.23
T_1,52.95,12.35
T_2,36.81,37.7
T_3,40.08,33.58
T_4,9.43,23.93
T_5,7.56,59.65
T_6,34.37,50.66
T_7,58.8,21.87
T_8,30.89,31.46
T_9,46.81,33.9
T_10,2.49,13.67
T_11,27.22,50.88
T_12,25.46,16.98
T_13,21.05,49.67
T_14,59.54,47.03
T_15,3.26,43.63
T_16,41.23,8.6
T_17,27.09,54.08
T_18,4.01,17.25
T_19,2.19,20.14
T_20,25.33,12.87
T_21,8.56,91.37
T_22,48.22,13.29
T_23,38.2,34.38
T_24,8.41,4.71
T_25,1.95,36.7
T_26,35.81,16.77
T_27,11.07,40.44
T_28,69.88,47.09
T_29,23.92,39.36
T_30,42.89,14.73
T_31,19.52,25.92
T_32,57.61,22.41
T_33,58.98,20.49
T_34,47.05,45.15
T_35,49.09,52.39
T_36,29.01,10.36
T_37,29.15,25.06
T_38,9.82,4.49
T_39,47.52,26.88
T_40,11.62,7.82
T_41,42.45,51.61
T_42,35.58,90.42
T_43,40.87,40.15
T_44,54.26,13.98
T_45,44.69,51.63
T_46,18.26,10.07
T_47,28.19,19.07
T_48,58.93,6.1
T_49,2.21,36.5
T_50,13.07,34.66
T_51,37.68,15.44
T_52,73.55,1.22
T_53,41.19,35.18
T_54,27.33,55.19
T_55,53.96,19.24
T_56,50.86,48.18
T_57,9.15,43.68
T_58,8.28,20.05
T_59,44.05,10.96
T_60,58.42,10.81
T_61,57.86,17.65
T_62,44.2,9.92
T_63,13.33,12.93
T_64,37.22,55.37
T_65,31.65,30.53
T_66,19.58,19.14
T_67,44.08,8.41
T_68,45.98,23.57
T_69,13.17,15.79
T_70,12.48,23.52
T_71,55.36,41.99
T_72,58.81,2.94
T_73,28.61,3.72
T_74,55.88,33.45
T_75,101.75,31.05
T_76,44.64,44.85
T_77,47.22,2.58
T_78,54.19,42.85
T_79,18.52,20.58
T_80,6.48,36.46
T_81,56.65,9.05
T_82,47.41,25.45
T_83,44.75,59.48
T_84,59.24,51.1
T_85,63.03,9.67
T_86,21.45,61.63
T_87,31.12,47.05
T_88,7.27,87.61
T_89,22.38,17.29
T_90,23.27,54.66
T_91,56.75,26.48
T_92,21.77,51.95
T_93,29.07,34.14
T_94,8.36,25.68
T_95,54.93,22.8
T_96,47.4,51.82
T_97,9.43,58.02
T_98,18.92,47.87
T_99,43.87,19.13
T_100,36.44,46.57
T_101,29.74,63.48
T_102,2.37,63.15
T_103,41.74,43.55
T_104,25.17,18.25
T_105,5.36,21.27
T_106,4.0,14.23
T_107,21.91,32.52
T_108,22.76,14.52
T_109,10.85,59.82
T_110,51.71,32.22
T_111,13.73,5.52
T_112,46.64,35.47
T_113,55.98,19.46
T_114,7.23,52.73
T_115,21.01,28.77
T_116,27.89,11.2
T_117,1.54,39.88
T_118,14.74,38.1
T_119,3.75,51.84
T_120,43.97,47.17
T_121,20.8,32.86
T_122,3.45,2.33
T_123,3.34,33.41
T_124,11.89,57.18
T_125,40.23,27.07
T_126,54.52,29.02
T_127,33.35,33.55
T_128,59.66,88.98
T_129,55.85,45.27
T_130,19.9,53.95
T_131,39.13,11.3
T_132,28.65,47.87
T_133,42.59,64.82
T_134,2.45,58.01
T_135,30.56,24.76
T_136,23.87,39.67
T_137,24.86,57.54
T_138,45.88,35.65
T_139,20.97,40.61
T_140,25.02,32.97
T_141,53.09,80.56
T_142,47.92,10.24
T_143,19.66,58.52
T_144,3.46,15.62
T_145,13.47,48.37
T_146,10.3,99.37
T_147,58.09,25.98
T_148,41.33,6.08
T_149,38.75,100.37
T_150,17.2,18.43
T_151,25.63,14.48
T_152,41.88,47.97
T_153,45.66,38.37
T_154,41.57,49.94
T_155,35.59,37.17
T_156,24.97,9.17
T_157,20.33,48.38
T_158,9.78,24.48
T_159,40.32,33.68
