TP,P_0,P_1,P_2,P_3
T_0,88.31,55.41,52.24,108.54
T_1,41.29,20.94,4.46,4.14
T_2,20.07,34.35,20.44,55.52
T_3,2.37,46.38,53.21,59.52
T_4,15.44,54.65,59.53,103.32
T_5,16.57,92.31,9.98,110.78
T_6,97.78,17.24,47.04,8.78
T_7,2.83,47.18,17.24,45.13
T_8,9.29,36.23,42.89,46.81
T_9,7.3,3.88,41.76,26.65
T_10,7.36,6.13,48.62,14.37
T_11,32.81,59.86,52.1,15.74
T_12,5.22,28.56,87.54,82.55
T_13,17.0,22.27,11.78,54.61
T_14,49.97,28.25,33.8,5.12
T_15,55.91,23.22,4.3,28.36
T_16,32.87,40.97,53.06,38.15
T_17,20.13,44.59,61.51,33.99
T_18,39.63,9.53,41.66,17.9
T_19,12.73,57.51,58.95,54.27
T_20,27.99,20.19,26.86,14.31
T_21,44.61,24.58,35.59,49.91
T_22,57.52,21.8,4.45,40.61
T_23,14.79,45.21,24.21,1.22
T_24,15.74,10.71,36.63,28.3
T_25,7.0,50.13,39.43,48.17
T_26,42.23,40.38,63.28,56.91
T_27,53.24,12.2,58.35,58.58
T_28,29.2,29.19,86.65,33.61
T_29,38.19,59.97,43.98,18.18
T_30,64.89,57.2,92.57,6.76
T_31,37.85,5.52,108.48,50.68
T_32,73.86,30.94,68.46,56.08
T_33,43.74,19.9,24.29,16.22
T_34,51.26,7.28,47.8,83.55
T_35,34.08,14.33,45.12,31.49
T_36,10.45,59.7,16.46,38.13
T_37,45.89,29.96,38.87,51.28
T_38,15.22,9.78,9.31,51.77
T_39,51.0,25.51,44.73,58.63
T_40,18.47,52.15,7.17,39.78
T_41,6.37,35.96,18.64,24.14
T_42,32.46,27.09,23.6,55.91
T_43,50.29,38.61,104.08,36.92
T_44,7.11,39.71,23.13,37.77
T_45,11.42,25.36,46.94,45.39
T_46,16.61,42.98,56.99,20.69
T_47,17.26,10.03,33.7,49.98
T_48,9.0,20.89,49.19,48.38
T_49,26.36,111.23,70.54,37.31
T_50,14.53,24.29,19.82,44.01
T_51,41.22,14.18,13.72,17.65
T_52,15.56,4.37,33.93,20.29
T_53,51.03,18.69,26.18,24.22
T_54,23.94,28.62,11.82,19.51
T_55,17.3,13.72,54.32,25.84
T_56,49.48,31.26,2.41,25.63
T_57,6.29,52.6,58.35,10.45
T_58,11.5,27.39,30.05,36.66
T_59,33.79,38.31,31.64,33.54
T_60,41.49,52.45,39.72,22.94
T_61,9.08,28.93,59.7,58.76
T_62,24.08,49.3,33.5,45.71
T_63,7.55,19.22,57.3,53.94
T_64,46.15,2.14,45.98,14.37
T_65,8.54,8.93,7.48,51.93
T_66,15.2,19.61,50.45,54.18
T_67,6.49,55.57,48.78,44.88
T_68,42.83,51.85,59.66,63.12
T_69,18.08,55.45,39.01,38.5
T_70,46.09,13.47,10.14,54.62
T_71,50.18,14.67,37.46,31.52
T_72,19.22,56.14,51.23,11.45
T_73,47.19,29.56,104.92,11.9
T_74,48.23,53.72,19.39,47.75
T_75,38.43,11.64,15.58,55.22
T_76,13.41,14.86,5.02,17.91
T_77,47.18,72.31,19.14,18.77
T_78,40.35,2.17,23.19,23.26
T_79,36.11,47.81,13.31,38.25
T_80,18.31,25.42,11.29,15.92
T_81,20.67,23.47,18.18,7.59
T_82,31.61,54.79,55.51,43.23
T_83,12.65,58.13,2.9,29.82
T_84,64.46,42.13,18.4,45.86
T_85,39.25,38.75,30.53,7.74
T_86,2.1,12.02,7.25,38.38
T_87,11.18,22.43,25.36,1.67
T_88,90.74,57.58,59.23,75.54
T_89,52.96,39.0,20.99,15.88
T_90,36.42,45.36,55.13,47.81
T_91,35.09,29.03,21.47,27.01
T_92,77.96,57.16,39.04,23.13
T_93,42.12,57.99,50.51,13.35
T_94,39.01,40.75,27.98,35.57
T_95,6.4,31.41,24.0,48.55
T_96,59.37,40.12,23.28,3.05
T_97,4.78,4.97,59.29,45.6
T_98,34.64,10.88,37.04,47.62
T_99,10.76,32.16,17.5,34.5
T_100,56.64,44.67,34.23,53.08
T_101,35.7,6.91,31.37,51.9
T_102,17.71,53.31,17.3,46.83
T_103,56.02,101.95,70.16,55.22
T_104,39.96,44.76,96.6,32.67
T_105,33.09,51.94,31.27,84.91
T_106,50.16,38.29,24.15,15.34
T_107,18.65,7.21,6.88,26.17
T_108,19.46,12.6,30.38,59.11
T_109,24.41,17.16,31.02,3.04
T_110,31.66,9.38,28.32,27.72
T_111,39.68,38.59,55.16,24.78
T_112,32.82,42.29,18.85,38.57
T_113,28.39,44.67,45.41,30.29
T_114,51.08,22.49,31.83,56.31
T_115,50.98,9.2,48.25,55.83
T_116,31.53,24.31,4.79,17.37
T_117,29.18,17.86,55.0,24.82
T_118,14.24,50.21,27.78,43.43
T_119,36.04,26.08,50.57,43.15
T_120,3.06,5.48,58.2,46.73
T_121,42.79,33.68,86.04,29.79
T_122,44.97,8.14,25.53,13.61
T_123,49.52,10.7,11.09,53.84
T_124,56.9,29.96,7.14,31.49
T_125,15.62,18.22,34.35,3.63
T_126,52.85,14.6,30.47,11.9
T_127,12.36,18.88,35.77,18.2
T_128,35.89,51.68,95.58,7.22
T_129,2.78,42.59,24.6,44.77
T_130,42.32,41.4,58.72,33.7
T_131,16.04,4.13,6.55,48.22
T_132,68.36,8.46,2.58,4.75
T_133,35.9,59.59,28.56,10.04
T_134,4.19,48.77,34.14,112.88
T_135,30.83,24.08,3.75,59.37
T_136,1.84,66.29,36.85,52.54
T_137,15.61,25.57,13.34,41.16
T_138,37.06,19.23,28.31,53.82
T_139,21.65,21.71,17.0,24.16
T_140,40.7,5.02,41.16,24.03
T_141,3.77,12.13,87.66,38.87
T_142,97.19,4.05,41.71,37.8
T_143,47.62,50.33,39.23,7.14
T_144,54.4,59.67,27.45,8.94
T_145,20.66,10.33,1.24,38.99
T_146,4.82,10.98,55.23,80.48
T_147,46.55,47.52,56.76,26.82
T_148,37.26,48.08,23.31,30.15
T_149,3.13,10.43,61.62,55.52
T_150,26.98,39.38,23.64,46.53
T_151,118.25,54.71,40.52,13.69
T_152,46.14,108.13,45.53,25.93
T_153,49.37,38.04,6.88,42.7
T_154,37.45,24.39,35.15,35.47
T_155,58.64,53.85,36.75,59.16
T_156,54.4,51.06,57.95,91.51
T_157,44.85,35.5,44.67,41.79
T_158,56.79,42.55,21.56,11.46
T_159,5.27,22.3,43.52,35.45
