TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,44.72,53.26,6.95,24.12,4.6,30.11,50.71,65.78
T_1,46.09,42.52,59.28,6.95,39.31,21.42,34.05,55.76
T_2,36.25,51.69,8.47,32.2,13.88,56.93,47.33,45.93
T_3,49.33,26.86,53.41,32.86,33.19,44.84,26.66,27.58
T_4,15.1,10.31,12.97,2.12,36.1,57.86,37.04,8.94
T_5,9.63,95.75,12.0,26.94,3.42,102.72,12.9,20.08
T_6,39.39,13.68,39.69,54.92,37.4,53.38,96.44,54.83
T_7,44.43,46.26,26.92,11.89,45.66,46.62,49.74,55.84
T_8,33.49,26.77,11.0,6.41,37.96,38.94,13.19,1.17
T_9,52.87,51.12,45.81,58.43,11.16,56.11,39.01,45.58
T_10,21.97,59.16,38.79,3.24,27.63,2.55,20.49,21.46
T_11,43.62,54.87,50.33,10.16,32.58,53.42,27.86,52.3
T_12,9.13,12.38,31.42,23.77,10.1,58.86,36.01,25.38
T_13,37.73,53.76,55.85,54.01,17.26,17.62,59.65,44.23
T_14,110.1,21.1,66.98,19.45,89.25,63.71,54.01,62.18
T_15,59.34,30.56,45.5,12.74,30.27,50.95,57.95,10.57
T_16,35.38,19.33,25.66,38.47,2.72,46.27,8.25,54.32
T_17,15.25,57.38,30.3,31.83,11.06,33.11,3.23,26.85
T_18,97.77,14.62,59.47,5.47,11.42,13.88,42.62,12.5
T_19,8.09,47.55,28.1,34.58,55.25,47.52,26.42,4.07
T_20,14.43,91.84,42.04,42.02,22.21,44.13,45.07,26.76
T_21,37.63,36.0,81.99,25.29,56.37,25.09,4.43,19.18
T_22,41.04,52.58,25.7,46.6,67.15,41.31,15.75,31.31
T_23,56.22,40.29,17.5,45.41,4.13,35.73,56.4,36.7
T_24,28.94,37.35,22.0,54.17,58.63,66.77,42.68,36.85
T_25,25.83,32.75,38.56,19.8,21.48,32.19,2.66,51.68
T_26,18.44,37.36,104.53,13.69,25.65,39.94,29.82,48.11
T_27,51.41,36.0,48.93,21.27,35.57,54.48,47.51,13.3
T_28,39.55,55.96,30.5,88.31,47.15,35.04,52.21,82.63
T_29,22.27,31.76,49.19,10.57,9.14,48.98,8.66,14.6
T_30,51.09,87.04,3.99,17.36,44.26,16.71,29.28,45.22
T_31,37.08,85.29,16.37,7.57,4.84,33.72,11.15,5.49
T_32,59.51,43.97,52.27,21.14,50.14,3.19,29.38,2.48
T_33,31.23,89.96,7.85,86.58,8.64,23.2,33.36,59.55
T_34,56.69,21.74,32.57,15.12,82.48,6.44,2.86,49.36
T_35,5.63,50.87,17.88,28.27,56.19,9.02,13.95,33.09
T_36,117.02,22.88,13.31,50.8,41.7,56.43,13.24,26.77
T_37,21.32,53.48,39.43,38.63,6.33,51.07,20.02,14.09
T_38,49.1,27.64,56.93,51.17,58.48,51.5,47.31,28.3
T_39,25.41,21.04,24.31,45.03,77.81,19.7,36.32,104.77
T_40,46.54,60.63,117.99,18.98,14.77,39.17,18.01,57.81
T_41,5.83,54.4,31.51,2.59,58.76,22.16,26.76,34.1
T_42,53.03,25.07,41.77,20.1,34.09,40.56,22.62,3.75
T_43,43.88,6.71,74.42,31.42,50.29,21.05,57.21,54.71
T_44,16.29,51.25,17.16,12.43,20.44,12.67,17.75,8.07
T_45,38.84,5.28,12.23,33.75,34.4,18.79,60.73,48.9
T_46,38.46,29.44,18.34,17.84,4.34,39.63,29.72,50.32
T_47,22.32,55.62,15.0,13.66,43.43,44.48,115.0,19.37
T_48,8.87,53.64,57.0,55.5,44.13,22.36,31.23,58.12
T_49,25.05,35.84,109.43,6.0,12.57,28.17,26.72,52.16
T_50,46.29,29.27,22.42,19.57,10.12,18.52,22.12,29.06
T_51,23.56,48.25,6.92,5.95,10.85,51.06,37.95,14.51
T_52,4.66,42.82,9.13,23.23,25.44,15.88,25.6,34.51
T_53,38.04,63.66,48.01,110.84,67.95,59.72,9.58,18.12
T_54,15.63,5.55,11.59,53.09,58.47,6.32,48.96,44.27
T_55,21.84,25.83,20.43,8.44,39.93,55.3,21.76,13.89
T_56,50.86,33.01,42.15,39.59,50.26,15.65,26.84,41.28
T_57,5.82,41.73,14.09,31.43,5.45,16.62,10.17,37.36
T_58,24.36,14.85,13.98,36.93,57.32,1.88,20.88,1.87
T_59,59.6,4.56,1.78,40.74,24.66,33.6,11.63,56.62
T_60,11.55,42.53,1.21,26.55,43.38,42.27,52.49,45.39
T_61,57.8,11.16,20.24,30.31,89.44,27.27,42.56,18.97
T_62,8.93,45.52,25.35,39.37,28.45,60.25,11.23,30.74
T_63,57.98,38.46,44.36,15.29,16.88,19.67,55.27,32.74
T_64,13.93,15.8,32.8,17.63,2.04,12.31,11.06,4.9
T_65,57.21,17.67,44.2,100.74,23.11,25.17,32.8,15.35
T_66,3.65,30.73,42.72,44.15,18.07,17.75,55.87,8.44
T_67,48.21,52.27,44.93,6.74,48.31,13.2,10.76,53.43
T_68,33.95,39.09,45.03,40.19,54.86,6.25,56.92,47.99
T_69,4.75,7.1,2.62,22.43,53.69,38.88,6.45,23.0
T_70,35.69,48.84,11.6,35.26,58.28,14.79,39.69,36.96
T_71,12.87,4.19,49.27,37.38,13.35,26.97,115.81,43.77
T_72,100.13,1.29,26.58,26.86,45.29,47.0,43.64,10.78
T_73,10.76,48.53,58.17,51.29,17.75,8.2,22.23,7.34
T_74,38.87,106.45,17.6,41.56,14.56,31.82,47.31,86.11
T_75,9.37,8.0,10.84,6.09,10.26,15.32,16.78,46.61
T_76,9.29,126.61,23.79,47.93,6.48,31.05,30.35,1.55
T_77,12.74,4.6,48.29,93.09,32.27,55.74,26.8,25.54
T_78,14.39,107.73,48.0,20.32,56.08,24.88,31.48,29.99
T_79,15.27,39.93,11.43,8.52,41.58,2.86,44.48,27.02
T_80,26.95,25.42,48.11,37.25,39.34,20.04,1.56,26.05
T_81,39.52,59.62,38.16,33.75,43.78,6.75,35.85,38.96
T_82,79.43,47.19,31.24,55.06,3.95,119.83,37.35,59.67
T_83,30.7,89.59,30.27,8.22,13.97,33.97,39.53,45.78
T_84,58.19,59.72,57.58,44.4,48.58,30.22,59.06,10.21
T_85,56.66,112.59,22.95,5.68,52.16,1.7,5.21,45.95
T_86,26.81,34.03,28.21,25.48,37.58,6.64,31.98,20.06
T_87,20.53,42.67,3.33,54.89,106.49,91.85,10.25,4.08
T_88,15.9,22.27,30.32,55.67,39.05,35.94,8.06,34.56
T_89,17.53,53.63,31.59,45.56,7.06,48.25,16.24,81.77
T_90,52.13,39.15,24.9,11.3,18.57,41.42,5.62,34.56
T_91,70.21,21.01,54.81,4.33,48.33,2.01,47.77,5.09
T_92,40.92,41.45,10.59,44.98,51.89,9.68,68.08,4.93
T_93,128.36,28.21,53.58,44.03,45.51,84.08,48.52,20.96
T_94,8.95,54.68,59.94,10.44,91.99,32.55,53.06,16.41
T_95,26.77,30.77,10.73,31.84,57.35,8.98,58.32,23.63
T_96,44.05,4.34,40.04,55.63,55.02,19.43,91.03,5.7
T_97,56.2,8.14,27.77,5.33,9.3,86.3,51.65,40.76
T_98,11.34,46.7,30.35,9.13,5.95,2.44,26.87,8.5
T_99,21.37,23.62,30.7,55.75,41.4,24.97,50.81,33.99
T_100,12.34,33.44,29.82,25.11,4.25,59.8,52.23,52.44
T_101,30.57,2.53,6.38,37.73,22.1,19.55,42.41,21.69
T_102,57.41,47.2,4.23,57.75,26.12,35.06,50.68,8.76
T_103,22.32,56.32,78.77,46.66,14.08,12.2,45.72,2.32
T_104,68.52,49.58,2.87,25.87,37.62,56.26,57.29,22.19
T_105,1.35,34.2,27.31,47.97,74.99,37.18,41.17,18.36
T_106,7.83,25.57,112.99,52.46,104.98,29.87,2.84,10.38
T_107,5.05,34.36,55.92,26.02,27.44,49.83,5.21,39.53
T_108,12.74,13.32,50.39,7.76,21.2,16.72,29.84,3.39
T_109,31.7,27.11,15.54,9.24,48.57,23.05,49.88,39.58
T_110,36.36,6.02,29.45,33.07,51.81,6.46,25.92,20.5
T_111,51.32,53.72,21.42,53.99,99.84,16.69,31.39,29.08
T_112,26.81,6.49,37.08,26.19,4.22,59.13,22.14,6.45
T_113,15.94,54.12,41.23,15.04,17.86,26.77,50.92,2.49
T_114,13.55,51.12,58.61,16.9,31.28,47.34,21.69,15.29
T_115,44.41,21.11,37.26,22.46,5.92,33.8,10.35,7.41
T_116,34.85,22.9,7.13,26.75,56.9,22.81,6.59,10.07
T_117,8.9,57.39,50.71,77.27,29.25,19.23,33.18,6.87
T_118,49.93,33.97,5.48,53.92,47.04,34.33,66.08,5.89
T_119,46.9,33.86,37.05,50.36,55.99,16.79,49.92,51.3
T_120,111.83,20.59,54.16,14.18,95.81,53.3,29.59,12.32
T_121,25.77,27.59,41.44,52.99,35.34,40.15,38.54,31.2
T_122,27.05,59.29,52.2,41.21,27.69,120.76,47.13,28.85
T_123,63.96,10.59,29.2,57.86,59.35,16.21,6.2,59.6
T_124,73.95,105.45,24.2,58.58,32.41,11.84,12.66,44.6
T_125,9.31,38.18,3.64,5.79,32.88,34.51,22.47,30.51
T_126,17.25,41.34,45.45,11.6,3.22,30.42,31.87,46.33
T_127,47.07,7.22,53.07,31.84,57.4,34.37,11.59,50.94
T_128,11.5,6.15,19.1,58.72,59.8,55.16,34.01,2.59
T_129,12.32,55.95,37.91,52.15,15.92,30.27,42.92,16.26
T_130,41.1,56.94,44.71,12.19,57.59,34.51,13.35,34.77
T_131,12.43,34.33,54.46,81.26,19.19,13.1,52.04,19.0
T_132,26.49,8.14,51.63,25.36,19.51,41.18,18.56,35.45
T_133,5.85,48.46,27.89,30.29,19.81,4.74,24.18,48.06
T_134,35.7,26.96,9.64,51.35,107.26,52.14,88.33,46.28
T_135,46.5,33.97,5.16,7.15,4.46,78.76,42.4,17.65
T_136,11.48,45.77,53.07,52.52,37.48,49.22,25.3,2.53
T_137,59.95,14.27,17.41,24.84,32.27,37.03,16.93,27.27
T_138,41.71,77.59,69.68,38.39,45.61,11.1,57.12,10.67
T_139,37.62,22.11,42.08,1.82,11.77,56.65,15.28,60.35
T_140,24.35,58.19,3.29,36.65,18.84,34.5,37.67,5.9
T_141,54.9,48.64,23.46,13.06,7.43,52.51,43.02,11.87
T_142,22.4,40.1,49.14,54.99,41.71,11.47,43.58,49.93
T_143,19.47,8.84,27.82,48.4,106.0,45.89,97.56,39.92
T_144,8.59,1.46,48.71,88.69,11.53,24.52,5.31,29.77
T_145,24.43,57.08,59.06,29.68,52.57,58.69,7.09,47.61
T_146,57.35,14.57,21.52,11.12,21.52,10.83,107.82,101.23
T_147,24.71,8.2,8.48,27.82,11.89,23.09,46.68,42.59
T_148,1.78,20.31,32.82,54.02,55.56,40.57,49.68,7.21
T_149,38.56,39.01,56.11,15.18,41.68,6.16,2.37,53.03
T_150,59.14,14.91,12.35,25.41,59.08,74.9,30.99,57.18
T_151,24.29,53.54,40.84,10.14,30.49,10.29,13.71,1.91
T_152,12.6,5.36,5.75,23.98,43.38,21.92,4.38,43.31
T_153,45.44,32.22,57.28,57.49,19.17,27.64,21.18,57.01
T_154,55.86,48.85,20.9,57.95,58.0,36.69,80.45,19.49
T_155,54.18,13.91,57.69,45.94,29.38,83.62,15.22,37.44
T_156,55.41,44.82,38.9,34.1,66.95,13.89,59.42,59.74
T_157,17.02,58.05,44.62,16.91,28.23,89.84,44.37,55.57
T_158,34.41,42.18,10.61,29.42,62.9,34.78,58.27,22.4
T_159,50.46,24.75,48.77,1.86,21.32,40.1,23.19,43.59
