TP,P_0,P_1
T_0,504.8498,740.4305
T_1,1031.1434,1107.3555
T_2,1963.9673,1952.6338
T_3,847.3940,373.3092
T_4,331.4740,1903.3148
T_5,972.1005,873.4786
T_6,871.2435,829.4621
T_7,1174.1284,1173.0528
T_8,1423.1352,702.8359
T_9,421.0724,1048.2355
T_10,1236.4072,1241.5609
T_11,905.2379,299.3713
T_12,1030.4176,1739.0645
T_13,915.2491,932.8210
T_14,922.8326,1345.8332
T_15,847.0512,1540.5948
T_16,1686.8856,271.8450
T_17,1547.1721,1620.7635
T_18,1084.0027,1735.6696
T_19,1461.3146,466.7885
T_20,527.0115,1287.2504
T_21,1512.7596,758.8286
T_22,1335.9546,563.4946
T_23,440.7182,1944.7784
T_24,1905.1211,1348.7116
T_25,823.9414,472.5487
T_26,1880.3223,1987.6445
T_27,1468.0732,1263.2890
T_28,1835.1926,931.7721
T_29,276.9380,424.9028
T_30,1237.3846,1914.5730
T_31,1450.4766,985.6408
T_32,1256.2635,1431.5057
T_33,1186.5930,799.3986
T_34,1282.2900,1553.3649
T_35,289.0501,1687.4656
T_36,1241.5213,1954.2838
T_37,721.2240,1949.1568
T_38,1728.8012,346.4093
T_39,963.4168,666.9229
T_40,1498.3463,970.4707
T_41,1027.6999,1574.1210
T_42,721.8917,574.5025
T_43,1660.2725,1699.2411
T_44,803.7717,483.8831
T_45,1785.5709,352.2306
T_46,1658.7316,1236.4118
T_47,1229.4039,612.4385
T_48,1836.7737,727.1188
T_49,1502.5651,1904.4489
T_50,1376.9017,1641.3197
T_51,862.4884,551.7562
T_52,1259.6615,1136.4759
T_53,1231.0274,1926.0385
T_54,1466.4205,1518.9164
T_55,1534.4877,1688.7833
T_56,1968.3553,1610.0150
T_57,926.5565,466.9139
T_58,1086.8730,1876.3556
T_59,463.7491,881.7611
T_60,1771.2332,1487.3519
T_61,1995.6268,998.4069
T_62,1767.7940,1936.8194
T_63,228.7340,205.1095
T_64,924.8799,308.7855
T_65,312.3831,1201.6824
T_66,843.8442,1058.9678
T_67,1290.0213,1857.0266
T_68,307.9823,675.9438
T_69,514.4595,1585.4159
T_70,1343.4751,1734.2340
T_71,432.8206,1284.8553
T_72,949.3954,296.7876
T_73,383.8753,248.7166
T_74,509.8553,962.4900
T_75,1525.5655,1960.4181
T_76,463.3697,820.8040
T_77,333.2158,1889.5498
T_78,1645.6929,1864.0815
T_79,783.9622,1322.8421
T_80,1107.7419,1225.9179
T_81,1201.1585,1357.6350
T_82,1406.5333,532.8053
T_83,1044.9391,1109.3875
T_84,519.9938,1069.5300
T_85,358.9316,610.9292
T_86,1561.8961,878.3332
T_87,1538.2860,236.9991
T_88,1254.5313,910.7715
T_89,249.0115,1671.0063
T_90,1752.9441,1980.0174
T_91,1695.2542,1962.3899
T_92,783.2200,351.9650
T_93,938.3127,223.0402
T_94,925.7521,1400.4715
T_95,411.3337,443.9008
T_96,1891.9816,1191.6174
T_97,677.6739,317.5572
T_98,733.0755,1075.1856
T_99,1878.3220,616.5900
T_100,1251.8485,1274.4878
T_101,1728.7228,1440.3253
T_102,803.5584,1114.6363
T_103,598.5220,1585.0365
T_104,1282.5180,296.2166
T_105,835.0185,934.9214
T_106,1815.0700,1112.9559
T_107,1569.8979,1127.7245
T_108,1530.6637,1238.7686
T_109,774.4150,1254.5683
T_110,1594.4927,1021.8989
T_111,383.6354,1119.5223
T_112,858.1963,1915.0308
T_113,718.9477,570.2787
T_114,400.6593,1420.7289
T_115,1503.9237,379.3457
T_116,1032.4495,1632.4215
T_117,619.1578,678.4564
T_118,451.2946,454.9289
T_119,1358.8315,1668.5837
T_120,1753.4430,1353.2761
T_121,940.5222,829.5355
T_122,765.4530,1476.4123
T_123,628.8308,979.0257
T_124,1621.7195,1549.9494
T_125,786.8935,1494.3069
T_126,500.7705,823.7536
T_127,1022.0973,429.9497
T_128,1090.8523,809.2005
T_129,782.1290,888.5276
T_130,595.6886,228.2433
T_131,1384.3772,1861.7891
T_132,792.2930,655.6728
T_133,1902.4719,382.6484
T_134,693.7981,1091.4416
T_135,876.4299,1275.7348
T_136,1879.9371,1105.8313
T_137,1501.1253,441.2166
T_138,281.3766,1554.1000
T_139,554.0693,1381.7840
T_140,1486.1999,1739.9220
T_141,948.5592,850.7099
T_142,833.8354,209.6168
T_143,1878.5752,408.6959
T_144,810.3242,389.2081
T_145,1587.6040,1642.0941
T_146,1672.7999,670.3039
T_147,1272.8951,1725.1997
T_148,1968.8989,1078.7331
T_149,237.2425,309.7802
T_150,1573.9404,446.1824
T_151,485.2275,730.2779
T_152,873.5195,1511.1587
T_153,1614.3698,1394.9392
T_154,1322.6283,780.8808
T_155,348.5730,1536.7524
T_156,455.1312,1400.3450
T_157,1402.3277,855.7666
T_158,1279.6841,733.6674
T_159,1227.9537,782.6762
T_160,777.0976,1693.7760
T_161,1572.3242,504.5900
T_162,1503.8375,1234.3359
T_163,1602.9350,1409.6332
T_164,1832.9362,1775.9256
T_165,472.3177,1202.6435
T_166,1516.8575,444.2892
T_167,1807.8437,1240.0175
T_168,1454.6945,418.2813
T_169,1977.1904,1322.6768
T_170,595.2469,683.6359
T_171,1086.0676,229.4434
T_172,240.6351,250.8517
T_173,1386.9629,472.4549
T_174,1267.9762,617.1285
T_175,645.5156,1435.2315
T_176,1850.7795,1454.5663
T_177,1532.6826,1880.1644
T_178,873.8581,1980.6375
T_179,1226.4404,1639.1836
T_180,1908.2237,404.7366
T_181,1562.0031,1546.7027
T_182,508.5631,1145.9295
T_183,219.8949,210.8420
T_184,1592.5013,362.3101
T_185,1401.0721,1061.4028
T_186,756.4770,1905.2769
T_187,387.4293,293.4617
T_188,807.7084,1542.8808
T_189,463.9549,1452.9859
T_190,1847.3730,1330.4801
T_191,341.6570,1415.8076
T_192,1330.4100,1037.0862
T_193,1351.8640,262.2912
T_194,911.6066,1927.6793
T_195,566.1594,1474.0570
T_196,1191.8409,538.0068
T_197,1414.4530,390.5103
T_198,1121.6329,1539.3649
T_199,1720.8803,1094.7056
T_200,230.9568,1376.1208
T_201,879.9535,1105.6661
T_202,1216.0564,1584.1128
T_203,878.7545,1945.5025
T_204,1267.1370,1439.2209
T_205,1272.4559,1330.9773
T_206,1716.6826,1773.4545
T_207,1791.8106,777.7436
T_208,263.0797,346.1954
T_209,416.2927,1471.4769
T_210,1794.0655,1957.6037
T_211,1299.2354,1664.8220
T_212,1796.1507,1927.0152
T_213,1869.5620,418.4702
T_214,690.8239,1996.9190
T_215,1171.8288,1268.3436
T_216,1822.0005,1369.2493
T_217,1422.0291,671.2522
T_218,650.5266,1235.9909
T_219,399.7512,1746.2972
T_220,358.3316,1406.3615
T_221,995.1542,1472.3857
T_222,855.2234,1235.1821
T_223,1757.3743,1418.3864
T_224,746.1962,836.7094
T_225,327.4306,975.4374
T_226,1323.0722,449.4034
T_227,1300.6401,273.3531
T_228,276.8854,1215.1315
T_229,1309.5153,1289.0413
T_230,1714.5508,660.2843
T_231,1454.6786,1270.2181
T_232,467.3921,204.1124
T_233,1508.9768,547.4333
T_234,551.4255,1320.5584
T_235,327.2170,1027.0888
T_236,1946.4442,669.9955
T_237,1313.1453,587.7040
T_238,1162.4495,1826.8498
T_239,1009.5986,760.9687
