TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,4.485377038292455,6.981979795746173,2.2084913569433455,6.310915049439287,6.522729495185479,2.146755937252099,2.995544723028431,0.8547432770152903
T_1,5.083254833858442,2.4750743820716457,1.9212953693064656,2.3311281018751067,2.3053434414713,3.5997661604577047,3.9793948343726653,4.565189378579662
T_2,4.40783303955916,5.382847639937683,5.299241724008407,4.481188512617821,3.0440533207934766,2.6858101832227987,2.509165175670055,2.752376339291988
T_3,1.9024514093150042,3.070974712335298,2.944832604117377,2.6013592063751103,1.3098539853108306,2.73109073346432,3.456961117226529,2.836135608996671
T_4,0.2718941572710172,1.0618067749387392,0.960497722829605,0.702163285818786,0.307010296986934,0.16787903458051665,0.3880199664923627,1.0319591680112201
T_5,3.1245298944452946,3.497842179786045,4.067828164467894,3.220755406753444,3.019995628424769,4.263353783035982,3.418155659576973,4.255016711489807
T_6,1.0643612618860914,1.1294076694495527,0.3285415940749603,1.0039425751445965,0.4951549720136965,0.40474374014930803,0.37345809451918865,1.0860014972971872
T_7,1.7611617848975922,2.923365496181799,1.1031367631576763,0.4220797665354619,2.0408734207617947,1.3403031541326615,1.8318897393050577,2.8528746755676853
T_8,0.24995374094240733,0.6185584344050896,0.8413461708765012,1.2102669621967637,1.370016691109436,0.9612797646332155,0.38774726770677126,0.2947448972716599
T_9,2.323801093604634,1.515362301942685,0.5458710626314676,2.495233432344226,2.187976825073468,2.255772333123561,2.2667908493597717,1.3644584425722754
T_10,3.3628382228331177,0.8015608213482674,4.394763056138567,0.6434084947818564,2.3585179387491575,4.873570056861805,5.143903467566503,3.8506842926762896
T_11,4.5457142649656745,2.275793787674669,4.757899144376007,5.354360472720042,2.5733479020553904,5.187874731838333,3.379152855197867,3.543433236698741
T_12,4.012203477565304,4.068028889766845,5.316069179795108,3.5384540403989493,1.7635096654804492,2.885390790837944,1.2373081204530456,0.8238888168130015
T_13,0.9682040298006872,0.2985989498960559,0.9856159986800643,0.6756717648317735,0.5711606616356726,1.3406027614092868,0.5270911332209792,0.8209585865982736
T_14,2.751410455284832,3.262569413348918,1.3753506823161392,2.0788216539526427,0.46093183511488844,3.144452678320911,2.087046168502832,1.081104574871703
T_15,1.2563910743565183,3.298616204364458,2.150961584798417,1.4308298497400875,2.762794007548579,3.063547200242179,1.7804260535401961,3.9109746621199095
T_16,2.769207522790868,2.45772688303464,1.189487963071298,2.40725760266276,1.779493128154861,2.525139715082238,0.724237753878656,1.1919405093567206
T_17,3.5672705163907783,3.4633262901420148,3.66758452675095,1.3255871956007061,1.216704161124816,3.0900771786840404,2.1126139421364387,1.220909050658646
T_18,5.21187247924372,6.484323667957668,2.5142143550414504,3.5747547836319584,6.858796455545404,6.228678851724608,2.6072529425037803,4.207495107087453
T_19,3.1520859555702643,4.237404262863329,3.413706699089278,2.1940523594495778,0.8177610220109732,4.501973615918802,2.054931809417249,1.7339045346572386
T_20,2.575459600605224,1.4103095482906225,3.4016381911657416,0.9001469975351322,2.161532339502971,2.6687281706684316,1.3189790810597315,3.4608179005006408
T_21,2.468309153713579,2.459287403567505,0.7343871449141977,1.1393396412778198,1.034553886816832,2.175211235552914,1.556670043843384,2.3635921092832826
T_22,3.275967992836122,2.9010128872739585,3.2031514208389553,1.3271387978215086,2.6200422602296896,1.322148002520505,3.1706630120082075,1.4872415596443251
T_23,2.386287644317795,2.7941514367021267,4.396920623499489,1.3321171612600051,0.7663878528248698,1.5621018773425104,3.1715461463226933,3.1766964269141993
T_24,0.28446748595749316,0.3783828964134577,1.1108313905083835,1.2789632281970067,0.8630435312933363,0.7368710805985115,0.7286248232738468,1.4781179552815074
T_25,0.1220447740856802,0.36375017087272804,0.5510571280735939,0.35826353219401674,0.5904971280653193,0.6749326336479566,0.2601013062569817,0.4473255188889996
T_26,1.0436470081943399,1.5075207111130289,0.9044293704037021,0.4144775446557949,0.25195034666738825,0.7294110698723714,1.1046625382859316,0.4959271393890993
T_27,3.8392747688100677,5.259884644241772,4.47094355683199,4.614252683427541,3.7088927708839345,3.061507238780306,1.1577613891291063,4.704824871219762
T_28,0.7728667946416143,3.6338450127765025,3.515989688944071,2.2083260609199145,1.3020119345746906,2.748380147573932,3.1523134413322973,3.1656760822912213
T_29,1.9092668102568249,2.8590182956391033,1.6034465752484242,2.517045770252069,5.341788919770269,3.0798624449192835,4.05859020405325,1.2055687891568305
T_30,5.906754625291436,3.8809131856411794,5.868075330996844,2.3677507960740396,2.4744203796203452,6.796069733097951,1.306111781079782,4.763284456829258
T_31,0.8436623814447366,4.060784920733868,0.689516176923004,2.0187616020171295,3.082235312278855,2.3686364739175083,0.9331695221383529,1.3008335357487297
T_32,0.6422183165493707,1.5323868384066848,0.428641973371039,0.29638767500083263,1.5459010456710471,0.7454240542839966,0.20223722471082325,0.7591269681688264
T_33,1.3578007919823305,2.3806298888062463,1.40606887746491,1.2855533628144735,0.34832170905423643,0.5867095806640343,0.721128314979276,2.1775200978656093
T_34,0.3554292114596248,0.29391564943750226,0.7872853557953899,0.4912785851137337,0.35952230883925423,0.19906235705484307,0.7755595056540963,0.5864471323729299
T_35,3.67680100071876,2.911601634255426,3.9623522042764483,2.7311589000667302,2.692434125540313,3.563526895321488,4.3724633646958715,3.2326749180292618
T_36,1.5325972928978548,4.08712055933268,4.391492868635009,2.474752989151038,6.371298461609174,3.5078932628559016,3.4199709383413412,3.4085030382211605
T_37,5.182906067332372,0.9447326960893349,1.6114188776403877,3.8725584554578516,3.573160294212246,0.6560832554706555,5.716765499301172,0.8982021059660386
T_38,1.0959339451005046,0.3918596107438428,0.7143181717831439,1.3103573073683739,0.39331106231930135,1.1004557717689414,0.411573576249423,0.5042856645526432
T_39,2.8384653831897455,2.611449909304362,4.223324609040436,0.9997152421335423,1.49949252569788,1.1449227569281712,1.1872856133272607,5.3485308937122005
T_40,0.529229249151185,0.5752874363454862,0.6790721243424817,0.6701172754062572,1.5869452327551519,0.2620925641858271,2.0593123688796204,1.1546185195908811
T_41,3.683962739961687,4.287594937632107,0.9699044374511105,3.770626033405544,2.9317168924103947,3.191629614787413,3.033375331817363,1.7864779937946602
T_42,3.7176460798253017,2.021837695958326,3.211576737966426,2.7192590939861336,1.5558541734841094,3.9952709653577894,1.5038697282163356,3.5083163333844523
T_43,0.7794026265178143,1.3106389233260685,1.3280161506824424,1.1750837231774034,0.5893520684192727,1.5653811887938671,1.5770757638162274,1.5457236132371501
T_44,1.5541429781906597,3.963424962988855,1.1887412396696972,2.772843125035214,0.6009854161901518,3.545371625951453,3.5367977446966354,3.8171003104760257
T_45,0.5315491747079534,2.392779328834033,2.6662415936319124,0.45487734698745075,3.3005834552938174,0.4905864907482108,1.247934521590031,2.5233005477373234
T_46,5.379375445535372,4.661450364847498,5.409753577640284,3.1212155380747473,4.9318123837944015,6.16477255204291,4.098211474385552,0.8579404288755026
T_47,2.1995314270659723,1.4256115177117528,5.397475161918988,1.0704577634998484,2.5297536046424183,4.704776217159078,2.3464714794689963,3.16617385492386
T_48,2.559791630145741,2.3016658301309088,0.8313660399619471,1.4153098037654477,3.066170289652572,0.48449079019419705,1.6089903433613009,0.6309661710407506
T_49,2.075243121415336,1.3843025613717037,0.9947993317368629,2.829433630312422,0.7764971549351983,3.0295462387776784,3.4534507188802213,0.9171901536694446
T_50,0.6381991940514213,0.4134651854408663,0.5220369465844108,1.5235424460581446,0.4841890792650173,0.874071162787118,0.5904423445654394,0.3549146481987337
T_51,1.1916627932718722,3.2126804260411523,2.378449234768481,3.269800146937894,1.932750062224624,1.1842722013125206,2.552951179376375,0.570040960932386
T_52,1.8449793192621524,2.232439431556254,1.7699954695073263,0.6701147711261495,0.8334009845140702,0.6838091386822134,3.8061238465771883,2.766259497739612
T_53,2.9968391578112787,3.6659900396131424,1.7245516418231615,4.007843615727342,2.067457775164229,1.748581415376149,1.9191644031379396,2.980065350888552
T_54,0.9193263201536049,3.189930968618126,1.442688730014878,0.6308085684876201,3.0269629656010295,3.4216807917574683,1.5311759786191392,2.3255180468846777
T_55,1.149893347533061,2.8642240749555223,1.4900269539969666,4.49044880641183,1.7887357014712917,0.775628895214904,3.2336078547546716,2.289431746000373
T_56,1.0772504153854698,0.30289717641811875,1.7275057860286511,0.8762598777390673,1.4520428453131706,1.7115773929031797,1.8866570964329996,1.8748036631695415
T_57,0.465873528074014,0.2568133335342496,1.7760315264229076,0.5672173729134675,0.6708154156749238,0.6481700292235171,0.6648867512110512,1.7164190964125665
T_58,2.3542244185783283,2.3195066502277166,0.8343652110512427,0.4657583028441959,0.9648878280167074,1.0316018587123283,1.793313299072813,1.7233954527799789
T_59,1.99017164093105,2.826970706308868,0.6321897639640998,2.0873948602102046,3.509858187120499,1.4400940902276114,1.7583291279681015,2.9895567611622855
