TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,1121.8103,579.1211,1602.1294,1231.9802,1030.6183,723.5146,1189.9210,1343.3798
T_1,1121.5822,955.9619,676.5598,1285.3933,1796.7016,304.6873,1416.2119,1327.3039
T_2,936.4520,1062.7644,538.5594,1257.0049,1104.9456,1364.3459,1161.5360,392.7433
T_3,1124.9763,926.7724,1835.7854,587.7744,1366.2187,1758.3572,521.2608,1703.0435
T_4,968.7421,956.2701,1570.2953,812.7234,1680.2163,1850.0789,556.1458,1173.9829
T_5,1194.0162,328.1255,714.9489,1555.4624,712.5579,1173.4260,1691.7185,745.7857
T_6,657.5237,852.4242,830.7919,1865.4413,1241.2219,648.5576,1446.4100,1757.4644
T_7,1417.5851,1409.3862,307.0039,303.8459,887.7291,802.1467,1977.1611,1363.2250
T_8,634.7011,973.5163,516.6512,1040.4315,734.3920,803.4884,1647.0876,1086.3731
T_9,706.6185,1364.5764,262.9888,976.8201,849.3970,1606.0737,1680.1854,1951.5503
T_10,1235.0539,1289.9998,1930.2507,713.7945,1127.5653,655.8195,661.8215,520.1845
T_11,1509.8601,1812.8310,1395.1383,470.8301,1743.0750,452.2999,486.2538,591.8695
T_12,350.9644,1351.7239,1120.7613,1739.0415,856.7748,851.2870,211.3937,1854.0352
T_13,1205.3366,1744.4188,1358.8228,1876.6455,585.5688,669.5899,1108.0674,1811.5114
T_14,1729.2007,355.4536,1068.7920,1597.7294,871.8960,1463.3666,435.6597,1978.8816
T_15,511.6948,1996.4667,1530.5714,921.5610,1408.3501,1376.2575,1343.2981,454.3186
T_16,1078.3226,1671.1193,825.8557,1497.6731,685.3123,1941.1439,1294.7755,583.7669
T_17,1278.6061,276.2155,1508.4579,1383.1466,1296.9967,785.1760,1934.6157,1040.2702
T_18,904.7636,1583.6269,741.6294,1587.6214,1383.5079,888.5245,1719.9735,887.5978
T_19,1116.0642,1141.8797,1427.3468,860.3081,1320.7156,1289.8326,645.6851,1829.0791
T_20,601.1207,1104.5042,998.3230,914.4496,1843.7342,1610.3943,1326.1991,1788.0569
T_21,1060.6782,685.0251,519.1233,795.6805,1954.9087,1052.5131,881.8849,1726.5188
T_22,261.8510,690.3012,216.7975,1824.7232,834.6281,1755.6767,1070.8107,389.7981
T_23,1951.1457,1938.2579,581.6089,1543.4326,713.7971,634.4674,1263.0512,1988.7734
